t	s	i
6.46	0.83008	0.0300797
6.47	0.830027	0.0300275
6.48	0.829975	0.0299754
6.49	0.829923	0.0299234
6.5	0.829871	0.0298715
6.51	0.82982	0.0298197
6.52	0.829768	0.0297679
6.53	0.829716	0.0297163
6.54	0.829665	0.0296648
6.55	0.829613	0.0296134
6.56	0.829562	0.0295621
6.57	0.829511	0.0295108
6.58	0.82946	0.0294597
6.59	0.829409	0.0294086
6.6	0.829358	0.0293577
6.61	0.829307	0.0293068
6.62	0.829256	0.0292561
6.63	0.829205	0.0292054
6.64	0.829155	0.0291549
6.65	0.829104	0.0291044
6.66	0.829054	0.029054
6.67	0.829004	0.0290037
6.68	0.828954	0.0289535
6.69	0.828903	0.0289034
6.7	0.828853	0.0288534
6.71	0.828804	0.0288035
6.72	0.828754	0.0287537
6.73	0.828704	0.028704
6.74	0.828654	0.0286543
6.75	0.828605	0.0286048
6.76	0.828555	0.0285553
6.77	0.828506	0.028506
6.78	0.828457	0.0284567
6.79	0.828408	0.0284075
6.8	0.828358	0.0283585
6.81	0.828309	0.0283095
6.82	0.828261	0.0282606
6.83	0.828212	0.0282118
6.84	0.828163	0.028163
6.85	0.828114	0.0281144
6.86	0.828066	0.0280659
6.87	0.828017	0.0280174
6.88	0.827969	0.0279691
6.89	0.827921	0.0279208
6.9	0.827873	0.0278726
6.91	0.827825	0.0278245
6.92	0.827777	0.0277765
6.93	0.827729	0.0277286
6.94	0.827681	0.0276808
6.95	0.827633	0.027633
6.96	0.827585	0.0275854
6.97	0.827538	0.0275378
6.98	0.82749	0.0274904
6.99	0.827443	0.027443
7	0.827396	0.0273957
7.01	0.827348	0.0273485
7.02	0.827301	0.0273013
7.03	0.827254	0.0272543
7.04	0.827207	0.0272073
7.05	0.82716	0.0271605
7.06	0.827114	0.0271137
7.07	0.827067	0.027067
7.08	0.82702	0.0270204
7.09	0.826974	0.0269739
7.1	0.826927	0.0269275
7.11	0.826881	0.0268811
7.12	0.826835	0.0268349
7.13	0.826789	0.0267887
7.14	0.826743	0.0267426
7.15	0.826697	0.0266966
7.16	0.826651	0.0266507
7.17	0.826605	0.0266048
7.18	0.826559	0.0265591
7.19	0.826513	0.0265134
7.2	0.826468	0.0264678
7.21	0.826422	0.0264223
7.22	0.826377	0.0263769
7.23	0.826332	0.0263316
7.24	0.826286	0.0262863
7.25	0.826241	0.0262411
7.26	0.826196	0.0261961
7.27	0.826151	0.0261511
7.28	0.826106	0.0261061
7.29	0.826061	0.0260613
7.3	0.826017	0.0260166
7.31	0.825972	0.0259719
7.32	0.825927	0.0259273
7.33	0.825883	0.0258828
7.34	0.825838	0.0258384
7.35	0.825794	0.025794
7.36	0.82575	0.0257497
7.37	0.825706	0.0257056
7.38	0.825661	0.0256615
7.39	0.825617	0.0256174
7.4	0.825573	0.0255735
7.41	0.82553	0.0255296
7.42	0.825486	0.0254859
7.43	0.825442	0.0254422
7.44	0.825399	0.0253985
7.45	0.825355	0.025355
7.46	0.825312	0.0253115
7.47	0.825268	0.0252681
7.48	0.825225	0.0252248
7.49	0.825182	0.0251816
